invoice_id,branch,city,customer_type,gender,product_line,unit_price
595-11-5460,A,Yangon,Normal,Male,Health and beauty,96.58
183-56-6882,C,Naypyitaw,Member,Female,Food and beverages,99.42
232-16-2483,C,Naypyitaw,Member,Female,Sports and travel,68.12
129-29-8530,A,Yangon,Member,Male,Sports and travel,62.62
272-65-1806,A,Yangon,Normal,Female,Electronic accessories,60.88
333-73-7901,C,Naypyitaw,Normal,Female,Health and beauty,54.92
777-82-7220,B,Mandalay,Member,Male,Home and lifestyle,30.12
280-35-5823,B,Mandalay,Member,Female,Home and lifestyle,86.72
554-53-8700,C,Naypyitaw,Member,Male,Home and lifestyle,56.11
354-25-5821,B,Mandalay,Member,Female,Sports and travel,69.12
228-96-1411,C,Naypyitaw,Member,Female,Food and beverages,98.7
617-15-4209,C,Naypyitaw,Member,Male,Health and beauty,15.37
132-32-9879,B,Mandalay,Member,Female,Electronic accessories,93.96
370-41-7321,B,Mandalay,Member,Male,Health and beauty,56.69
727-46-3608,B,Mandalay,Member,Female,Food and beverages,20.01
669-54-1719,B,Mandalay,Member,Male,Electronic accessories,18.93
574-22-5561,C,Naypyitaw,Member,Female,Fashion accessories,82.63
326-78-5178,C,Naypyitaw,Member,Male,Food and beverages,91.4
162-48-8011,A,Yangon,Member,Female,Food and beverages,44.59
616-24-2851,B,Mandalay,Member,Female,Fashion accessories,17.87
778-71-5554,C,Naypyitaw,Member,Male,Fashion accessories,15.43
242-55-6721,B,Mandalay,Normal,Male,Home and lifestyle,16.16
399-46-5918,C,Naypyitaw,Normal,Female,Electronic accessories,85.98
106-35-6779,A,Yangon,Member,Male,Home and lifestyle,44.34
635-40-6220,A,Yangon,Normal,Male,Health and beauty,89.6
817-48-8732,A,Yangon,Member,Female,Home and lifestyle,72.35
120-06-4233,C,Naypyitaw,Normal,Male,Electronic accessories,30.61
285-68-5083,C,Naypyitaw,Member,Female,Sports and travel,24.74
803-83-5989,C,Naypyitaw,Normal,Male,Home and lifestyle,55.73
347-34-2234,B,Mandalay,Member,Female,Sports and travel,55.07
199-75-8169,A,Yangon,Member,Male,Sports and travel,15.81
853-23-2453,B,Mandalay,Member,Male,Health and beauty,75.74
877-22-3308,A,Yangon,Member,Male,Health and beauty,15.87
838-78-4295,C,Naypyitaw,Normal,Female,Health and beauty,33.47
109-28-2512,B,Mandalay,Member,Female,Fashion accessories,97.61
232-11-3025,A,Yangon,Normal,Male,Sports and travel,78.77
382-03-4532,A,Yangon,Member,Female,Health and beauty,18.33
393-65-2792,C,Naypyitaw,Normal,Male,Food and beverages,89.48
796-12-2025,C,Naypyitaw,Normal,Male,Fashion accessories,62.12
510-95-6347,B,Mandalay,Member,Female,Food and beverages,48.52
841-35-6630,C,Naypyitaw,Normal,Female,Electronic accessories,75.91
287-21-9091,A,Yangon,Normal,Male,Home and lifestyle,74.67
732-94-0499,C,Naypyitaw,Normal,Female,Electronic accessories,41.65
263-10-3913,C,Naypyitaw,Member,Male,Fashion accessories,49.04
381-20-0914,A,Yangon,Member,Female,Fashion accessories,20.01
829-49-1914,C,Naypyitaw,Member,Female,Food and beverages,78.31
756-01-7507,C,Naypyitaw,Normal,Female,Health and beauty,20.38
870-72-4431,C,Naypyitaw,Normal,Female,Health and beauty,99.19
847-38-7188,B,Mandalay,Normal,Female,Food and beverages,96.68
480-63-2856,C,Naypyitaw,Normal,Male,Food and beverages,19.25
787-56-0757,C,Naypyitaw,Member,Female,Food and beverages,80.36
360-39-5055,C,Naypyitaw,Member,Male,Sports and travel,48.91
730-50-9884,C,Naypyitaw,Normal,Female,Sports and travel,83.06
362-58-8315,C,Naypyitaw,Normal,Male,Fashion accessories,76.52
633-44-8566,A,Yangon,Member,Male,Food and beverages,49.38
504-35-8843,A,Yangon,Normal,Male,Sports and travel,42.47
318-68-5053,B,Mandalay,Normal,Female,Health and beauty,76.99
565-80-5980,C,Naypyitaw,Member,Female,Home and lifestyle,47.38
225-32-0908,C,Naypyitaw,Normal,Female,Sports and travel,44.86
873-51-0671,A,Yangon,Member,Female,Sports and travel,21.98
152-08-9985,B,Mandalay,Member,Male,Health and beauty,64.36
512-91-0811,C,Naypyitaw,Normal,Male,Health and beauty,89.75
594-34-4444,A,Yangon,Normal,Male,Electronic accessories,97.16
766-85-7061,B,Mandalay,Normal,Male,Health and beauty,87.87
871-39-9221,C,Naypyitaw,Normal,Female,Electronic accessories,12.45
865-92-6136,A,Yangon,Normal,Male,Food and beverages,52.75
733-01-9107,B,Mandalay,Normal,Male,Home and lifestyle,82.7
163-56-7055,C,Naypyitaw,Member,Male,Fashion accessories,48.71
189-98-2939,C,Naypyitaw,Normal,Male,Fashion accessories,78.55
551-21-3069,C,Naypyitaw,Normal,Female,Electronic accessories,23.07
212-62-1842,A,Yangon,Normal,Male,Food and beverages,58.26
716-39-1409,B,Mandalay,Normal,Male,Health and beauty,30.35
704-48-3927,A,Yangon,Member,Male,Electronic accessories,88.67
628-34-3388,C,Naypyitaw,Normal,Male,Fashion accessories,27.38
630-74-5166,A,Yangon,Normal,Male,Sports and travel,62.13
588-01-7461,C,Naypyitaw,Normal,Female,Food and beverages,33.98
861-77-0145,C,Naypyitaw,Member,Male,Electronic accessories,81.97
479-26-8945,B,Mandalay,Member,Female,Sports and travel,16.49
210-67-5886,C,Naypyitaw,Member,Female,Health and beauty,98.21
227-78-1148,B,Mandalay,Normal,Female,Fashion accessories,72.84
645-44-1170,A,Yangon,Member,Male,Home and lifestyle,58.07
237-01-6122,C,Naypyitaw,Member,Female,Home and lifestyle,80.79
225-98-1496,C,Naypyitaw,Normal,Female,Fashion accessories,27.02
291-32-1427,B,Mandalay,Member,Male,Fashion accessories,21.94
659-65-8956,B,Mandalay,Member,Male,Fashion accessories,51.36
642-32-2990,A,Yangon,Normal,Female,Food and beverages,10.96
378-24-2715,B,Mandalay,Normal,Male,Home and lifestyle,53.44
638-60-7125,A,Yangon,Normal,Female,Electronic accessories,99.56
659-36-1684,C,Naypyitaw,Member,Male,Sports and travel,57.12
219-22-9386,B,Mandalay,Member,Male,Sports and travel,99.96
336-78-2147,C,Naypyitaw,Member,Male,Home and lifestyle,63.91
268-27-6179,B,Mandalay,Member,Female,Fashion accessories,56.47
668-90-8900,A,Yangon,Normal,Female,Home and lifestyle,93.69
870-54-3162,A,Yangon,Normal,Female,Sports and travel,32.25
189-08-9157,C,Naypyitaw,Normal,Female,Fashion accessories,31.73
663-86-9076,C,Naypyitaw,Member,Female,Food and beverages,68.54
549-84-7482,B,Mandalay,Normal,Female,Sports and travel,90.28
191-10-6171,B,Mandalay,Normal,Female,Fashion accessories,39.62
802-70-5316,A,Yangon,Member,Female,Sports and travel,92.13
695-51-0018,B,Mandalay,Normal,Female,Sports and travel,34.84
590-83-4591,B,Mandalay,Member,Male,Electronic accessories,87.45
483-71-1164,C,Naypyitaw,Normal,Female,Health and beauty,81.3
597-78-7908,C,Naypyitaw,Normal,Male,Fashion accessories,90.22
700-81-1757,A,Yangon,Normal,Female,Electronic accessories,26.31
354-39-5160,A,Yangon,Member,Female,Home and lifestyle,34.42
241-72-9525,B,Mandalay,Normal,Male,Sports and travel,51.91
575-30-8091,A,Yangon,Normal,Male,Sports and travel,72.5
731-81-9469,C,Naypyitaw,Member,Female,Sports and travel,89.8
280-17-4359,C,Naypyitaw,Member,Male,Health and beauty,90.5
338-65-2210,C,Naypyitaw,Member,Female,Health and beauty,68.6
488-25-4221,C,Naypyitaw,Member,Female,Food and beverages,30.41
239-10-7476,A,Yangon,Normal,Female,Home and lifestyle,77.95
458-41-1477,C,Naypyitaw,Normal,Female,Health and beauty,46.26
685-64-1609,A,Yangon,Member,Female,Fashion accessories,30.14
568-90-5112,C,Naypyitaw,Normal,Male,Health and beauty,66.14
262-47-2794,B,Mandalay,Member,Male,Home and lifestyle,71.86
238-49-0436,A,Yangon,Normal,Male,Health and beauty,32.46
608-96-3517,B,Mandalay,Member,Female,Fashion accessories,91.54
584-86-7256,C,Naypyitaw,Member,Male,Sports and travel,34.56
746-94-0204,A,Yangon,Normal,Male,Fashion accessories,83.24
214-17-6927,C,Naypyitaw,Normal,Female,Food and beverages,16.48
400-89-4171,C,Naypyitaw,Normal,Female,Sports and travel,80.97
782-95-9291,A,Yangon,Member,Male,Food and beverages,92.29
279-74-2924,B,Mandalay,Member,Male,Electronic accessories,72.17
307-85-2293,B,Mandalay,Normal,Male,Home and lifestyle,50.28
743-04-1105,B,Mandalay,Member,Male,Health and beauty,97.22
423-57-2993,B,Mandalay,Normal,Male,Sports and travel,93.39
894-41-5205,C,Naypyitaw,Normal,Female,Food and beverages,43.18
275-28-0149,A,Yangon,Normal,Male,Sports and travel,63.69
101-17-6199,A,Yangon,Normal,Male,Food and beverages,45.79
423-80-0988,C,Naypyitaw,Normal,Male,Sports and travel,76.4
548-46-9322,B,Mandalay,Normal,Male,Food and beverages,39.9
505-02-0892,B,Mandalay,Member,Male,Health and beauty,42.57
234-65-2137,C,Naypyitaw,Normal,Male,Home and lifestyle,95.58
687-47-8271,A,Yangon,Normal,Male,Fashion accessories,98.98
796-32-9050,A,Yangon,Normal,Male,Food and beverages,51.28
105-31-1824,A,Yangon,Member,Male,Sports and travel,69.52
249-42-3782,A,Yangon,Normal,Male,Health and beauty,70.01
316-55-4634,B,Mandalay,Member,Male,Food and beverages,80.05
733-33-4967,C,Naypyitaw,Normal,Male,Electronic accessories,20.85
608-27-6295,B,Mandalay,Member,Male,Electronic accessories,52.89
414-12-7047,B,Mandalay,Normal,Male,Food and beverages,19.79
827-26-2100,A,Yangon,Member,Male,Home and lifestyle,33.84
175-54-2529,A,Yangon,Member,Male,Food and beverages,22.17
139-52-2867,C,Naypyitaw,Normal,Female,Fashion accessories,22.51
407-63-8975,A,Yangon,Normal,Male,Food and beverages,73.88
342-65-4817,C,Naypyitaw,Member,Male,Health and beauty,86.8
130-98-8941,C,Naypyitaw,Normal,Male,Fashion accessories,64.26
434-83-9547,C,Naypyitaw,Member,Male,Food and beverages,38.47
851-28-6367,A,Yangon,Member,Male,Sports and travel,15.5
824-88-3614,C,Naypyitaw,Normal,Male,Health and beauty,34.31
586-25-0848,A,Yangon,Normal,Female,Sports and travel,12.34
895-66-0685,B,Mandalay,Member,Male,Food and beverages,18.08
305-14-0245,B,Mandalay,Member,Female,Home and lifestyle,94.49
732-04-5373,B,Mandalay,Member,Male,Home and lifestyle,46.47
400-60-7251,A,Yangon,Normal,Male,Home and lifestyle,74.07
593-65-1552,C,Naypyitaw,Normal,Female,Home and lifestyle,69.81
284-34-9626,B,Mandalay,Normal,Female,Home and lifestyle,77.04
437-58-8131,B,Mandalay,Normal,Female,Fashion accessories,73.52
286-43-6208,C,Naypyitaw,Normal,Female,Food and beverages,87.8
641-43-2399,B,Mandalay,Normal,Male,Home and lifestyle,25.55
831-07-6050,A,Yangon,Normal,Male,Electronic accessories,32.71
556-86-3144,C,Naypyitaw,Member,Female,Fashion accessories,74.29
848-24-9445,C,Naypyitaw,Member,Male,Health and beauty,43.7
856-22-8149,A,Yangon,Normal,Female,Home and lifestyle,25.29
699-01-4164,C,Naypyitaw,Normal,Male,Health and beauty,41.5
420-11-4919,C,Naypyitaw,Member,Female,Food and beverages,71.39
606-80-4905,C,Naypyitaw,Member,Female,Sports and travel,19.15
542-41-0513,B,Mandalay,Member,Female,Electronic accessories,57.49
426-39-2418,C,Naypyitaw,Normal,Male,Electronic accessories,61.41
875-46-5808,B,Mandalay,Member,Male,Health and beauty,25.9
394-43-4238,B,Mandalay,Member,Male,Home and lifestyle,17.77
749-24-1565,A,Yangon,Normal,Female,Health and beauty,23.03
672-51-8681,C,Naypyitaw,Member,Female,Electronic accessories,66.65
263-87-5680,C,Naypyitaw,Member,Female,Home and lifestyle,28.53
573-58-9734,B,Mandalay,Normal,Female,Fashion accessories,30.37
817-69-8206,B,Mandalay,Normal,Female,Electronic accessories,99.73
888-02-0338,A,Yangon,Normal,Male,Electronic accessories,26.23
677-11-0152,C,Naypyitaw,Normal,Female,Food and beverages,93.26
142-63-6033,B,Mandalay,Normal,Male,Home and lifestyle,92.36
656-16-1063,B,Mandalay,Normal,Male,Sports and travel,46.42
891-58-8335,B,Mandalay,Member,Female,Sports and travel,29.61
802-43-8934,A,Yangon,Normal,Male,Home and lifestyle,18.28
560-30-5617,B,Mandalay,Normal,Female,Sports and travel,24.77
319-74-2561,A,Yangon,Member,Female,Electronic accessories,94.64
549-03-9315,B,Mandalay,Normal,Male,Fashion accessories,94.87
790-29-1172,B,Mandalay,Normal,Female,Food and beverages,57.34
239-36-3640,B,Mandalay,Normal,Male,Electronic accessories,45.35
468-01-2051,B,Mandalay,Normal,Male,Food and beverages,62.08
389-25-3394,C,Naypyitaw,Normal,Male,Electronic accessories,11.81
279-62-1445,C,Naypyitaw,Member,Female,Fashion accessories,12.54
213-72-6612,A,Yangon,Normal,Male,Food and beverages,43.25
746-68-6593,C,Naypyitaw,Member,Female,Sports and travel,87.16
836-82-5858,B,Mandalay,Member,Male,Health and beauty,69.37
583-72-1480,C,Naypyitaw,Member,Male,Electronic accessories,37.06
466-61-5506,B,Mandalay,Member,Female,Electronic accessories,90.7
721-86-6247,A,Yangon,Normal,Female,Home and lifestyle,63.42
289-65-5721,B,Mandalay,Normal,Female,Fashion accessories,81.37
545-46-3100,B,Mandalay,Member,Female,Electronic accessories,10.59
418-02-5978,B,Mandalay,Normal,Female,Health and beauty,84.09
269-04-5750,B,Mandalay,Member,Male,Fashion accessories,73.82
157-13-5295,A,Yangon,Member,Male,Health and beauty,51.94
645-78-8093,A,Yangon,Normal,Female,Sports and travel,93.14
211-30-9270,C,Naypyitaw,Normal,Male,Health and beauty,17.41
755-12-3214,C,Naypyitaw,Member,Female,Fashion accessories,44.22
346-84-3103,B,Mandalay,Member,Female,Electronic accessories,13.22
478-06-7835,A,Yangon,Normal,Male,Fashion accessories,89.69
540-11-4336,A,Yangon,Normal,Male,Food and beverages,24.94
448-81-5016,A,Yangon,Normal,Male,Health and beauty,59.77
142-72-4741,C,Naypyitaw,Member,Male,Fashion accessories,93.2
217-58-1179,A,Yangon,Member,Male,Home and lifestyle,62.65
376-02-8238,B,Mandalay,Normal,Male,Home and lifestyle,93.87
530-90-9855,A,Yangon,Member,Male,Home and lifestyle,47.59
866-05-7563,B,Mandalay,Member,Female,Electronic accessories,81.4
604-70-6476,A,Yangon,Member,Male,Fashion accessories,17.94
799-71-1548,A,Yangon,Member,Male,Electronic accessories,77.72
785-13-7708,B,Mandalay,Normal,Male,Food and beverages,73.06
845-51-0542,B,Mandalay,Member,Male,Food and beverages,46.55
662-47-5456,C,Naypyitaw,Member,Male,Fashion accessories,35.19
883-17-4236,C,Naypyitaw,Normal,Female,Sports and travel,14.39
290-68-2984,A,Yangon,Normal,Male,Home and lifestyle,23.75
704-11-6354,A,Yangon,Member,Male,Home and lifestyle,58.9
110-48-7033,B,Mandalay,Member,Male,Fashion accessories,32.62
366-93-0948,A,Yangon,Member,Male,Electronic accessories,66.35
729-09-9681,A,Yangon,Member,Male,Home and lifestyle,25.91
151-16-1484,A,Yangon,Member,Male,Electronic accessories,32.25
380-94-4661,C,Naypyitaw,Member,Male,Electronic accessories,65.94
850-41-9669,A,Yangon,Normal,Female,Electronic accessories,75.06
821-07-3596,C,Naypyitaw,Normal,Female,Fashion accessories,16.45
655-85-5130,B,Mandalay,Member,Female,Fashion accessories,38.3
447-15-7839,A,Yangon,Member,Female,Sports and travel,22.24
154-74-7179,B,Mandalay,Normal,Male,Sports and travel,54.45
253-12-6086,A,Yangon,Member,Female,Sports and travel,98.4
808-65-0703,C,Naypyitaw,Normal,Male,Home and lifestyle,35.47
571-94-0759,B,Mandalay,Member,Female,Food and beverages,74.6
144-51-6085,A,Yangon,Member,Male,Home and lifestyle,70.74
731-14-2199,A,Yangon,Member,Female,Home and lifestyle,35.54
783-09-1637,B,Mandalay,Normal,Female,Sports and travel,67.43
687-15-1097,C,Naypyitaw,Member,Female,Health and beauty,21.12
126-54-1082,A,Yangon,Member,Female,Home and lifestyle,21.54
633-91-1052,A,Yangon,Normal,Female,Home and lifestyle,12.03
477-24-6490,B,Mandalay,Normal,Female,Health and beauty,99.71
566-19-5475,B,Mandalay,Normal,Male,Fashion accessories,47.97
526-86-8552,C,Naypyitaw,Member,Female,Home and lifestyle,21.82
376-56-3573,C,Naypyitaw,Normal,Female,Fashion accessories,95.42
537-72-0426,C,Naypyitaw,Member,Male,Fashion accessories,70.99
828-61-5674,A,Yangon,Member,Male,Sports and travel,44.02
136-08-6195,A,Yangon,Normal,Female,Home and lifestyle,69.96
523-38-0215,C,Naypyitaw,Normal,Male,Home and lifestyle,37.0
490-29-1201,A,Yangon,Normal,Female,Sports and travel,15.34
667-92-0055,A,Yangon,Member,Male,Health and beauty,99.83
565-17-3836,A,Yangon,Member,Female,Health and beauty,47.67
498-41-1961,B,Mandalay,Normal,Male,Health and beauty,66.68
593-95-4461,C,Naypyitaw,Member,Male,Home and lifestyle,74.86
226-71-3580,C,Naypyitaw,Normal,Female,Sports and travel,23.75
283-79-9594,B,Mandalay,Normal,Female,Food and beverages,48.51
430-60-3493,A,Yangon,Member,Female,Home and lifestyle,94.88
139-20-0155,B,Mandalay,Member,Male,Electronic accessories,40.3
558-80-4082,C,Naypyitaw,Normal,Male,Electronic accessories,27.85
278-97-7759,A,Yangon,Member,Female,Electronic accessories,62.48
316-68-6352,A,Yangon,Member,Female,Food and beverages,36.36
585-03-5943,B,Mandalay,Normal,Male,Health and beauty,18.11
211-05-0490,C,Naypyitaw,Member,Female,Electronic accessories,51.92
727-75-6477,C,Naypyitaw,Normal,Male,Electronic accessories,28.84
744-02-5987,A,Yangon,Member,Male,Home and lifestyle,78.38
307-83-9164,A,Yangon,Member,Male,Home and lifestyle,60.01
779-06-0012,C,Naypyitaw,Member,Female,Home and lifestyle,88.61
446-47-6729,C,Naypyitaw,Normal,Male,Fashion accessories,99.82
573-10-3877,B,Mandalay,Member,Male,Health and beauty,39.01
735-06-4124,C,Naypyitaw,Normal,Male,Food and beverages,48.61
439-54-7422,A,Yangon,Normal,Female,Electronic accessories,51.19
396-90-2219,B,Mandalay,Normal,Female,Electronic accessories,14.96
411-77-0180,A,Yangon,Member,Male,Electronic accessories,72.2
286-01-5402,A,Yangon,Normal,Female,Sports and travel,40.23
803-17-8013,A,Yangon,Member,Female,Home and lifestyle,88.79
512-98-1403,A,Yangon,Member,Female,Electronic accessories,26.48
848-42-2560,A,Yangon,Normal,Female,Fashion accessories,81.91
532-59-7201,B,Mandalay,Member,Male,Sports and travel,79.93
181-94-6432,C,Naypyitaw,Member,Male,Fashion accessories,69.33
870-76-1733,A,Yangon,Member,Female,Food and beverages,14.23
423-64-4619,A,Yangon,Member,Female,Health and beauty,15.55
227-07-4446,C,Naypyitaw,Member,Female,Electronic accessories,78.13
174-36-3675,C,Naypyitaw,Member,Male,Food and beverages,99.37
428-83-5800,C,Naypyitaw,Member,Female,Food and beverages,21.08
603-07-0961,C,Naypyitaw,Member,Male,Electronic accessories,74.79
704-20-4138,C,Naypyitaw,Member,Female,Health and beauty,29.67
787-15-1757,C,Naypyitaw,Member,Male,Health and beauty,44.07
649-11-3678,C,Naypyitaw,Normal,Female,Food and beverages,22.93
622-20-1945,C,Naypyitaw,Normal,Female,Health and beauty,39.42
372-94-8041,A,Yangon,Normal,Male,Health and beauty,15.26
563-91-7120,A,Yangon,Normal,Female,Fashion accessories,61.77
746-54-5508,A,Yangon,Normal,Male,Home and lifestyle,21.52
276-54-0879,B,Mandalay,Normal,Male,Sports and travel,97.74
815-11-1168,A,Yangon,Member,Male,Food and beverages,99.78
719-76-3868,C,Naypyitaw,Member,Male,Food and beverages,94.26
730-61-8757,B,Mandalay,Member,Male,Health and beauty,51.13
340-66-0321,A,Yangon,Member,Male,Electronic accessories,36.36
868-81-1752,B,Mandalay,Normal,Male,Home and lifestyle,22.02
634-97-8956,A,Yangon,Normal,Male,Food and beverages,32.9
566-71-1091,A,Yangon,Normal,Male,Fashion accessories,77.02
442-48-3607,A,Yangon,Member,Male,Food and beverages,23.48
835-16-0096,C,Naypyitaw,Member,Male,Sports and travel,14.7
527-09-6272,A,Yangon,Member,Female,Electronic accessories,28.45
898-04-2717,A,Yangon,Normal,Male,Fashion accessories,76.4
692-27-8933,B,Mandalay,Normal,Female,Sports and travel,57.95
633-09-3463,C,Naypyitaw,Normal,Female,Electronic accessories,47.65
374-17-3652,B,Mandalay,Member,Female,Food and beverages,42.82
378-07-7001,B,Mandalay,Member,Male,Electronic accessories,48.09
433-75-6987,B,Mandalay,Member,Female,Health and beauty,55.97
873-95-4984,B,Mandalay,Member,Female,Health and beauty,76.9
416-13-5917,C,Naypyitaw,Normal,Female,Food and beverages,97.03
150-89-8043,A,Yangon,Normal,Male,Sports and travel,44.65
135-84-8019,A,Yangon,Normal,Female,Fashion accessories,77.93
441-94-7118,A,Yangon,Member,Male,Electronic accessories,71.95
725-96-3778,C,Naypyitaw,Member,Female,Home and lifestyle,89.25
531-80-1784,A,Yangon,Normal,Male,Electronic accessories,26.02
400-45-1220,B,Mandalay,Normal,Female,Health and beauty,13.5
860-79-0874,C,Naypyitaw,Member,Female,Fashion accessories,99.3
834-61-8124,A,Yangon,Normal,Male,Electronic accessories,51.69
115-99-4379,B,Mandalay,Member,Female,Fashion accessories,54.73
565-67-6697,B,Mandalay,Member,Male,Home and lifestyle,27.0
320-49-6392,C,Naypyitaw,Normal,Female,Electronic accessories,30.24
889-04-9723,B,Mandalay,Member,Female,Food and beverages,89.14
632-90-0281,C,Naypyitaw,Normal,Female,Fashion accessories,37.55
554-42-2417,C,Naypyitaw,Normal,Female,Sports and travel,95.44
453-63-6187,B,Mandalay,Normal,Male,Electronic accessories,27.5
578-80-7669,B,Mandalay,Normal,Male,Sports and travel,74.97
612-36-5536,A,Yangon,Member,Male,Food and beverages,80.96
605-72-4132,C,Naypyitaw,Normal,Female,Food and beverages,94.47
471-41-2823,C,Naypyitaw,Normal,Male,Food and beverages,99.79
462-67-9126,A,Yangon,Normal,Male,Home and lifestyle,73.22
272-27-9238,C,Naypyitaw,Normal,Female,Food and beverages,41.24
834-25-9262,C,Naypyitaw,Normal,Female,Fashion accessories,81.68
122-61-9553,C,Naypyitaw,Normal,Female,Electronic accessories,51.32
468-88-0009,A,Yangon,Member,Male,Home and lifestyle,65.94
613-59-9758,C,Naypyitaw,Normal,Female,Sports and travel,14.36
254-31-0042,A,Yangon,Member,Male,Electronic accessories,21.5
201-86-2184,B,Mandalay,Member,Female,Electronic accessories,26.26
261-12-8671,B,Mandalay,Normal,Female,Fashion accessories,60.96
730-70-9830,C,Naypyitaw,Normal,Female,Home and lifestyle,70.11
382-25-8917,C,Naypyitaw,Normal,Male,Fashion accessories,42.08
422-29-8786,A,Yangon,Normal,Female,Home and lifestyle,67.09
667-23-5919,A,Yangon,Member,Female,Fashion accessories,96.7
843-01-4703,B,Mandalay,Member,Female,Home and lifestyle,35.38
743-88-1662,C,Naypyitaw,Normal,Male,Sports and travel,95.49
595-86-2894,C,Naypyitaw,Member,Male,Fashion accessories,96.98
182-69-8360,B,Mandalay,Normal,Female,Electronic accessories,23.65
289-15-7034,A,Yangon,Member,Male,Sports and travel,82.33
462-78-5240,C,Naypyitaw,Normal,Female,Electronic accessories,26.61
868-52-7573,B,Mandalay,Normal,Female,Food and beverages,99.69
153-58-4872,C,Naypyitaw,Member,Female,Food and beverages,74.89
662-72-2873,A,Yangon,Normal,Female,Food and beverages,40.94
525-88-7307,B,Mandalay,Member,Male,Sports and travel,75.82
689-16-9784,C,Naypyitaw,Normal,Male,Food and beverages,46.77
725-56-0833,A,Yangon,Normal,Female,Health and beauty,32.32
394-41-0748,C,Naypyitaw,Member,Female,Fashion accessories,54.07
596-42-3999,B,Mandalay,Normal,Male,Food and beverages,18.22
541-89-9860,C,Naypyitaw,Member,Female,Fashion accessories,80.48
173-82-9529,B,Mandalay,Normal,Female,Fashion accessories,37.95
563-36-9814,A,Yangon,Member,Male,Electronic accessories,76.82
308-47-4913,A,Yangon,Member,Female,Sports and travel,52.26
885-17-6250,A,Yangon,Normal,Female,Health and beauty,79.74
726-27-2396,A,Yangon,Normal,Female,Health and beauty,77.5
316-01-3952,A,Yangon,Normal,Female,Food and beverages,54.27
760-54-1821,B,Mandalay,Normal,Male,Home and lifestyle,13.59
793-10-3222,B,Mandalay,Member,Female,Health and beauty,41.06
346-12-3257,B,Mandalay,Member,Male,Electronic accessories,19.24
110-05-6330,C,Naypyitaw,Normal,Female,Food and beverages,39.43
651-61-0874,C,Naypyitaw,Normal,Male,Home and lifestyle,46.22
236-86-3015,C,Naypyitaw,Member,Male,Home and lifestyle,13.98
831-64-0259,B,Mandalay,Normal,Female,Fashion accessories,39.75
587-03-7455,C,Naypyitaw,Member,Female,Fashion accessories,97.79
882-40-4577,A,Yangon,Member,Male,Sports and travel,67.26
732-67-5346,A,Yangon,Normal,Male,Food and beverages,13.79
725-32-9708,B,Mandalay,Member,Female,Fashion accessories,68.71
256-08-8343,A,Yangon,Normal,Female,Home and lifestyle,56.53
372-26-1506,C,Naypyitaw,Normal,Female,Fashion accessories,23.82
244-08-0162,B,Mandalay,Normal,Female,Health and beauty,34.21
569-71-4390,B,Mandalay,Normal,Male,Sports and travel,21.87
132-23-6451,A,Yangon,Member,Male,Health and beauty,20.97
696-90-2548,A,Yangon,Normal,Male,Sports and travel,25.84
472-15-9636,A,Yangon,Normal,Male,Home and lifestyle,50.93
