invoice_id,quantity,tax_5_percent,total,date,time,payment
512-91-0811,1,4.4875,94.2375,02-06-2019,20:05:00,Credit card
594-34-4444,1,4.858,102.018,03-08-2019,20:38:00,Ewallet
766-85-7061,10,43.935,922.635,3/29/2019,10:25:00,Ewallet
871-39-9221,6,3.735,78.435,02-09-2019,13:11:00,Cash
865-92-6136,3,7.9125,166.1625,3/23/2019,10:16:00,Ewallet
733-01-9107,6,24.81,521.01,03-05-2019,18:14:00,Cash
163-56-7055,1,2.4355,51.1455,3/26/2019,19:20:00,Cash
189-98-2939,9,35.3475,742.2975,03-01-2019,13:22:00,Cash
551-21-3069,9,10.3815,218.0115,02-01-2019,11:27:00,Cash
212-62-1842,6,17.478,367.038,3/28/2019,16:44:00,Cash
716-39-1409,7,10.6225,223.0725,3/19/2019,18:19:00,Cash
704-48-3927,10,44.335,931.035,01-12-2019,14:50:00,Ewallet
628-34-3388,6,8.214,172.494,01-05-2019,20:54:00,Credit card
630-74-5166,6,18.639,391.419,3/22/2019,20:19:00,Cash
588-01-7461,9,15.291,321.111,3/24/2019,10:43:00,Cash
861-77-0145,10,40.985,860.685,03-03-2019,14:30:00,Cash
479-26-8945,2,1.649,34.629,02-05-2019,11:32:00,Ewallet
210-67-5886,3,14.7315,309.3615,02-05-2019,10:41:00,Credit card
227-78-1148,7,25.494,535.374,2/15/2019,12:44:00,Cash
645-44-1170,9,26.1315,548.7615,1/19/2019,20:07:00,Ewallet
237-01-6122,9,36.3555,763.4655,02-01-2019,20:31:00,Credit card
225-98-1496,3,4.053,85.113,03-02-2019,13:01:00,Credit card
291-32-1427,5,5.485,115.185,03-05-2019,12:29:00,Ewallet
659-65-8956,1,2.568,53.928,1/16/2019,15:26:00,Ewallet
642-32-2990,10,5.48,115.08,02-02-2019,20:48:00,Ewallet
378-24-2715,2,5.344,112.224,1/20/2019,20:38:00,Ewallet
638-60-7125,8,39.824,836.304,2/14/2019,17:03:00,Credit card
659-36-1684,7,19.992,419.832,01-12-2019,12:02:00,Credit card
219-22-9386,9,44.982,944.622,03-09-2019,17:26:00,Credit card
336-78-2147,8,25.564,536.844,3/13/2019,19:52:00,Credit card
268-27-6179,8,22.588,474.348,03-09-2019,14:57:00,Ewallet
668-90-8900,7,32.7915,688.6215,03-10-2019,18:44:00,Credit card
870-54-3162,5,8.0625,169.3125,1/27/2019,13:26:00,Cash
189-08-9157,9,14.2785,299.8485,01-08-2019,16:17:00,Credit card
663-86-9076,8,27.416,575.736,01-08-2019,15:57:00,Ewallet
549-84-7482,9,40.626,853.146,02-08-2019,11:15:00,Ewallet
191-10-6171,7,13.867,291.207,1/25/2019,13:18:00,Cash
802-70-5316,6,27.639,580.419,03-06-2019,20:34:00,Cash
695-51-0018,4,6.968,146.328,02-10-2019,18:36:00,Cash
590-83-4591,6,26.235,550.935,2/17/2019,14:40:00,Credit card
483-71-1164,6,24.39,512.19,03-08-2019,16:43:00,Ewallet
597-78-7908,3,13.533,284.193,2/18/2019,19:39:00,Cash
700-81-1757,5,6.5775,138.1275,1/18/2019,20:59:00,Credit card
354-39-5160,6,10.326,216.846,2/18/2019,15:39:00,Cash
241-72-9525,10,25.955,545.055,2/16/2019,12:21:00,Cash
575-30-8091,8,29.0,609.0,3/16/2019,19:25:00,Ewallet
731-81-9469,10,44.9,942.9,1/23/2019,13:00:00,Credit card
280-17-4359,10,45.25,950.25,1/25/2019,13:48:00,Cash
338-65-2210,10,34.3,720.3,02-05-2019,19:57:00,Cash
488-25-4221,1,1.5205,31.9305,2/22/2019,10:36:00,Credit card
239-10-7476,6,23.385,491.085,1/21/2019,16:37:00,Ewallet
458-41-1477,6,13.878,291.438,03-08-2019,17:11:00,Credit card
685-64-1609,10,15.07,316.47,02-10-2019,12:28:00,Ewallet
568-90-5112,4,13.228,277.788,3/19/2019,12:46:00,Credit card
262-47-2794,8,28.744,603.624,03-06-2019,15:07:00,Credit card
238-49-0436,8,12.984,272.664,3/27/2019,13:48:00,Credit card
608-96-3517,4,18.308,384.468,3/23/2019,19:20:00,Credit card
584-86-7256,7,12.096,254.016,03-11-2019,16:07:00,Credit card
746-94-0204,9,37.458,786.618,1/29/2019,11:56:00,Credit card
214-17-6927,6,4.944,103.824,02-07-2019,18:23:00,Ewallet
400-89-4171,8,32.388,680.148,1/28/2019,13:05:00,Cash
782-95-9291,5,23.0725,484.5225,2/20/2019,15:55:00,Credit card
279-74-2924,1,3.6085,75.7785,01-04-2019,19:40:00,Cash
307-85-2293,5,12.57,263.97,03-07-2019,13:58:00,Ewallet
743-04-1105,9,43.749,918.729,3/30/2019,14:43:00,Ewallet
423-57-2993,6,28.017,588.357,3/27/2019,19:18:00,Ewallet
894-41-5205,8,17.272,362.712,1/19/2019,19:39:00,Credit card
275-28-0149,1,3.1845,66.8745,2/25/2019,16:21:00,Cash
101-17-6199,7,16.0265,336.5565,3/13/2019,19:44:00,Credit card
423-80-0988,2,7.64,160.44,1/30/2019,19:42:00,Ewallet
548-46-9322,10,19.95,418.95,2/20/2019,15:24:00,Credit card
505-02-0892,8,17.028,357.588,2/25/2019,14:12:00,Ewallet
234-65-2137,10,47.79,1003.59,1/16/2019,13:32:00,Cash
687-47-8271,10,49.49,1039.29,02-08-2019,16:20:00,Credit card
796-32-9050,6,15.384,323.064,1/19/2019,16:31:00,Cash
105-31-1824,7,24.332,510.972,02-01-2019,15:10:00,Credit card
249-42-3782,5,17.5025,367.5525,01-03-2019,11:36:00,Ewallet
316-55-4634,5,20.0125,420.2625,1/26/2019,12:45:00,Credit card
733-33-4967,8,8.34,175.14,03-03-2019,19:17:00,Cash
608-27-6295,6,15.867,333.207,1/19/2019,17:34:00,Credit card
414-12-7047,8,7.916,166.236,1/18/2019,12:04:00,Ewallet
827-26-2100,9,15.228,319.788,3/21/2019,16:21:00,Ewallet
175-54-2529,8,8.868,186.228,03-03-2019,17:01:00,Credit card
139-52-2867,7,7.8785,165.4485,2/13/2019,10:50:00,Credit card
407-63-8975,6,22.164,465.444,3/23/2019,19:16:00,Ewallet
342-65-4817,3,13.02,273.42,1/28/2019,16:47:00,Ewallet
130-98-8941,7,22.491,472.311,02-09-2019,10:00:00,Cash
434-83-9547,8,15.388,323.148,1/23/2019,11:51:00,Cash
851-28-6367,10,7.75,162.75,3/23/2019,10:55:00,Ewallet
824-88-3614,8,13.724,288.204,1/25/2019,15:00:00,Ewallet
586-25-0848,7,4.319,90.699,03-04-2019,11:19:00,Credit card
895-66-0685,3,2.712,56.952,03-05-2019,19:46:00,Ewallet
305-14-0245,8,37.796,793.716,03-03-2019,19:00:00,Ewallet
732-04-5373,4,9.294,195.174,02-08-2019,10:53:00,Cash
400-60-7251,1,3.7035,77.7735,02-10-2019,12:50:00,Ewallet
593-65-1552,4,13.962,293.202,1/28/2019,20:50:00,Credit card
284-34-9626,3,11.556,242.676,02-11-2019,10:39:00,Credit card
437-58-8131,2,7.352,154.392,1/15/2019,13:41:00,Ewallet
286-43-6208,9,39.51,829.71,3/16/2019,19:08:00,Cash
641-43-2399,4,5.11,107.31,1/26/2019,20:23:00,Ewallet
831-07-6050,5,8.1775,171.7275,3/19/2019,11:30:00,Credit card
556-86-3144,1,3.7145,78.0045,1/13/2019,19:30:00,Cash
848-24-9445,2,4.37,91.77,3/26/2019,18:03:00,Cash
856-22-8149,1,1.2645,26.5545,3/23/2019,10:13:00,Ewallet
699-01-4164,4,8.3,174.3,03-12-2019,19:58:00,Credit card
420-11-4919,5,17.8475,374.7975,2/17/2019,19:57:00,Credit card
606-80-4905,6,5.745,120.645,1/29/2019,10:01:00,Credit card
542-41-0513,4,11.498,241.458,3/15/2019,11:57:00,Cash
426-39-2418,7,21.4935,451.3635,1/14/2019,10:02:00,Cash
875-46-5808,10,12.95,271.95,02-06-2019,14:51:00,Ewallet
394-43-4238,5,4.4425,93.2925,2/15/2019,12:42:00,Credit card
749-24-1565,9,10.3635,217.6335,01-03-2019,12:02:00,Ewallet
672-51-8681,9,29.9925,629.8425,01-04-2019,18:19:00,Credit card
263-87-5680,10,14.265,299.565,3/18/2019,17:38:00,Ewallet
573-58-9734,3,4.5555,95.6655,3/28/2019,13:41:00,Ewallet
817-69-8206,9,44.8785,942.4485,03-02-2019,19:42:00,Credit card
888-02-0338,9,11.8035,247.8735,1/25/2019,20:24:00,Ewallet
677-11-0152,9,41.967,881.307,1/16/2019,18:08:00,Cash
142-63-6033,5,23.09,484.89,3/20/2019,19:17:00,Ewallet
656-16-1063,3,6.963,146.223,01-04-2019,13:24:00,Credit card
891-58-8335,7,10.3635,217.6335,03-11-2019,15:53:00,Cash
802-43-8934,1,0.914,19.194,3/22/2019,15:05:00,Credit card
560-30-5617,5,6.1925,130.0425,3/24/2019,18:27:00,Cash
319-74-2561,3,14.196,298.116,2/21/2019,16:55:00,Cash
549-03-9315,8,37.948,796.908,02-12-2019,12:58:00,Ewallet
790-29-1172,3,8.601,180.621,03-10-2019,18:59:00,Credit card
239-36-3640,6,13.605,285.705,1/31/2019,13:44:00,Ewallet
468-01-2051,7,21.728,456.288,03-06-2019,13:46:00,Ewallet
389-25-3394,5,2.9525,62.0025,2/17/2019,18:06:00,Cash
279-62-1445,1,0.627,13.167,2/21/2019,12:38:00,Cash
213-72-6612,2,4.325,90.825,3/20/2019,15:56:00,Cash
746-68-6593,2,8.716,183.036,01-11-2019,14:29:00,Credit card
836-82-5858,9,31.2165,655.5465,1/26/2019,19:14:00,Ewallet
583-72-1480,4,7.412,155.652,1/31/2019,16:24:00,Ewallet
466-61-5506,6,27.21,571.41,2/26/2019,10:52:00,Cash
721-86-6247,8,25.368,532.728,03-11-2019,12:55:00,Ewallet
289-65-5721,2,8.137,170.877,1/26/2019,19:28:00,Cash
545-46-3100,3,1.5885,33.3585,03-12-2019,13:52:00,Credit card
418-02-5978,9,37.8405,794.6505,02-11-2019,10:54:00,Cash
269-04-5750,4,14.764,310.044,2/21/2019,18:31:00,Cash
157-13-5295,10,25.97,545.37,03-09-2019,18:24:00,Ewallet
645-78-8093,2,9.314,195.594,1/20/2019,18:09:00,Ewallet
211-30-9270,5,4.3525,91.4025,1/28/2019,15:16:00,Credit card
755-12-3214,5,11.055,232.155,03-05-2019,17:07:00,Credit card
346-84-3103,5,3.305,69.405,03-02-2019,19:26:00,Cash
478-06-7835,1,4.4845,94.1745,01-11-2019,11:20:00,Ewallet
540-11-4336,9,11.223,235.683,01-11-2019,16:49:00,Credit card
448-81-5016,2,5.977,125.517,03-11-2019,12:01:00,Credit card
142-72-4741,2,9.32,195.72,2/28/2019,18:37:00,Credit card
217-58-1179,4,12.53,263.13,01-05-2019,11:25:00,Cash
376-02-8238,8,37.548,788.508,02-02-2019,18:42:00,Credit card
530-90-9855,8,19.036,399.756,01-01-2019,14:47:00,Cash
866-05-7563,3,12.21,256.41,02-09-2019,19:43:00,Cash
604-70-6476,5,4.485,94.185,1/23/2019,14:04:00,Ewallet
799-71-1548,4,15.544,326.424,01-07-2019,16:11:00,Credit card
785-13-7708,7,25.571,536.991,1/14/2019,19:06:00,Credit card
845-51-0542,9,20.9475,439.8975,02-02-2019,15:34:00,Ewallet
662-47-5456,10,17.595,369.495,3/17/2019,19:06:00,Credit card
883-17-4236,2,1.439,30.219,03-02-2019,19:44:00,Credit card
290-68-2984,4,4.75,99.75,3/16/2019,11:22:00,Cash
704-11-6354,8,23.56,494.76,01-06-2019,11:23:00,Cash
110-48-7033,4,6.524,137.004,1/29/2019,14:12:00,Cash
366-93-0948,1,3.3175,69.6675,1/31/2019,10:46:00,Credit card
729-09-9681,6,7.773,163.233,02-05-2019,10:16:00,Ewallet
151-16-1484,4,6.45,135.45,2/13/2019,12:38:00,Ewallet
380-94-4661,4,13.188,276.948,02-07-2019,13:05:00,Credit card
850-41-9669,9,33.777,709.317,3/19/2019,13:25:00,Ewallet
821-07-3596,4,3.29,69.09,03-07-2019,14:53:00,Ewallet
655-85-5130,4,7.66,160.86,3/13/2019,19:22:00,Cash
447-15-7839,10,11.12,233.52,02-09-2019,11:00:00,Cash
154-74-7179,1,2.7225,57.1725,2/26/2019,19:24:00,Ewallet
253-12-6086,7,34.44,723.24,03-12-2019,12:43:00,Credit card
808-65-0703,4,7.094,148.974,3/14/2019,17:22:00,Credit card
571-94-0759,10,37.3,783.3,01-08-2019,20:55:00,Cash
144-51-6085,4,14.148,297.108,01-05-2019,16:05:00,Credit card
731-14-2199,10,17.77,373.17,01-04-2019,13:34:00,Ewallet
783-09-1637,5,16.8575,354.0075,03-06-2019,18:13:00,Ewallet
687-15-1097,2,2.112,44.352,01-03-2019,19:17:00,Cash
126-54-1082,9,9.693,203.553,01-07-2019,11:44:00,Credit card
633-91-1052,2,1.203,25.263,1/27/2019,15:51:00,Cash
477-24-6490,6,29.913,628.173,2/26/2019,16:52:00,Ewallet
566-19-5475,7,16.7895,352.5795,01-07-2019,20:52:00,Cash
526-86-8552,10,10.91,229.11,01-07-2019,17:36:00,Cash
376-56-3573,4,19.084,400.764,02-02-2019,13:23:00,Ewallet
537-72-0426,10,35.495,745.395,3/20/2019,16:28:00,Cash
828-61-5674,10,22.01,462.21,3/20/2019,19:57:00,Credit card
136-08-6195,8,27.984,587.664,2/15/2019,17:01:00,Credit card
523-38-0215,1,1.85,38.85,03-06-2019,13:29:00,Credit card
490-29-1201,1,0.767,16.107,01-06-2019,11:09:00,Cash
667-92-0055,6,29.949,628.929,03-04-2019,15:02:00,Ewallet
565-17-3836,4,9.534,200.214,03-12-2019,14:21:00,Cash
498-41-1961,5,16.67,350.07,2/20/2019,18:01:00,Cash
593-95-4461,1,3.743,78.603,3/24/2019,14:49:00,Cash
226-71-3580,9,10.6875,224.4375,1/31/2019,12:02:00,Cash
283-79-9594,7,16.9785,356.5485,1/25/2019,13:30:00,Credit card
430-60-3493,7,33.208,697.368,02-03-2019,14:38:00,Cash
139-20-0155,10,20.15,423.15,1/24/2019,17:37:00,Credit card
558-80-4082,7,9.7475,204.6975,3/14/2019,17:20:00,Ewallet
278-97-7759,1,3.124,65.604,2/18/2019,20:29:00,Cash
316-68-6352,2,3.636,76.356,1/21/2019,10:00:00,Cash
585-03-5943,10,9.055,190.155,3/13/2019,11:46:00,Ewallet
211-05-0490,5,12.98,272.58,03-03-2019,13:42:00,Cash
727-75-6477,4,5.768,121.128,3/29/2019,14:44:00,Cash
744-02-5987,6,23.514,493.794,01-10-2019,14:16:00,Ewallet
307-83-9164,4,12.002,252.042,1/25/2019,15:54:00,Cash
779-06-0012,1,4.4305,93.0405,1/19/2019,10:21:00,Cash
446-47-6729,2,9.982,209.622,01-02-2019,18:09:00,Credit card
573-10-3877,1,1.9505,40.9605,03-12-2019,16:46:00,Credit card
735-06-4124,1,2.4305,51.0405,2/25/2019,15:31:00,Cash
439-54-7422,4,10.238,214.998,3/18/2019,17:15:00,Credit card
396-90-2219,8,5.984,125.664,2/23/2019,12:29:00,Cash
411-77-0180,7,25.27,530.67,3/26/2019,20:14:00,Ewallet
286-01-5402,7,14.0805,295.6905,3/30/2019,13:22:00,Cash
803-17-8013,8,35.516,745.836,2/17/2019,17:09:00,Cash
512-98-1403,3,3.972,83.412,3/21/2019,10:40:00,Ewallet
848-42-2560,2,8.191,172.011,03-05-2019,17:43:00,Cash
532-59-7201,6,23.979,503.559,1/31/2019,14:04:00,Cash
181-94-6432,2,6.933,145.593,02-05-2019,19:05:00,Ewallet
870-76-1733,5,3.5575,74.7075,02-01-2019,10:08:00,Credit card
423-64-4619,9,6.9975,146.9475,03-07-2019,13:12:00,Cash
227-07-4446,10,39.065,820.365,02-10-2019,20:51:00,Cash
174-36-3675,2,9.937,208.677,2/14/2019,17:29:00,Cash
428-83-5800,3,3.162,66.402,02-09-2019,10:25:00,Cash
603-07-0961,5,18.6975,392.6475,01-10-2019,11:34:00,Cash
704-20-4138,7,10.3845,218.0745,03-11-2019,18:58:00,Credit card
787-15-1757,4,8.814,185.094,2/18/2019,16:28:00,Ewallet
649-11-3678,9,10.3185,216.6885,2/26/2019,20:26:00,Cash
622-20-1945,1,1.971,41.391,1/18/2019,15:08:00,Cash
372-94-8041,6,4.578,96.138,2/15/2019,18:03:00,Ewallet
563-91-7120,5,15.4425,324.2925,03-08-2019,13:21:00,Cash
746-54-5508,6,6.456,135.576,1/17/2019,12:48:00,Credit card
276-54-0879,4,19.548,410.508,03-12-2019,19:53:00,Ewallet
815-11-1168,5,24.945,523.845,03-09-2019,19:09:00,Cash
719-76-3868,4,18.852,395.892,03-12-2019,16:30:00,Cash
730-61-8757,4,10.226,214.746,1/25/2019,10:11:00,Credit card
340-66-0321,4,7.272,152.712,3/25/2019,13:07:00,Cash
868-81-1752,9,9.909,208.089,02-07-2019,18:48:00,Cash
634-97-8956,3,4.935,103.635,2/17/2019,17:27:00,Credit card
566-71-1091,5,19.255,404.355,02-03-2019,15:59:00,Cash
442-48-3607,2,2.348,49.308,3/14/2019,11:21:00,Credit card
835-16-0096,5,3.675,77.175,3/24/2019,13:48:00,Ewallet
527-09-6272,5,7.1125,149.3625,3/21/2019,10:17:00,Credit card
898-04-2717,9,34.38,721.98,3/19/2019,15:49:00,Ewallet
692-27-8933,6,17.385,365.085,2/24/2019,13:02:00,Cash
633-09-3463,3,7.1475,150.0975,3/28/2019,12:58:00,Credit card
374-17-3652,9,19.269,404.649,02-05-2019,15:26:00,Credit card
378-07-7001,3,7.2135,151.4835,02-10-2019,18:23:00,Credit card
433-75-6987,7,19.5895,411.3795,03-05-2019,19:06:00,Ewallet
873-95-4984,7,26.915,565.215,2/15/2019,20:21:00,Cash
416-13-5917,5,24.2575,509.4075,1/30/2019,16:24:00,Ewallet
150-89-8043,3,6.6975,140.6475,2/14/2019,15:04:00,Cash
135-84-8019,9,35.0685,736.4385,2/27/2019,16:10:00,Ewallet
441-94-7118,1,3.5975,75.5475,02-04-2019,12:14:00,Cash
725-96-3778,8,35.7,749.7,1/20/2019,10:13:00,Cash
531-80-1784,7,9.107,191.247,3/28/2019,17:38:00,Cash
400-45-1220,10,6.75,141.75,2/27/2019,11:06:00,Credit card
860-79-0874,10,49.65,1042.65,2/15/2019,14:53:00,Credit card
834-61-8124,7,18.0915,379.9215,1/26/2019,18:22:00,Cash
115-99-4379,7,19.1555,402.2655,3/14/2019,19:02:00,Credit card
565-67-6697,9,12.15,255.15,03-02-2019,14:16:00,Cash
320-49-6392,1,1.512,31.752,03-04-2019,15:44:00,Cash
889-04-9723,4,17.828,374.388,01-07-2019,12:20:00,Credit card
632-90-0281,10,18.775,394.275,03-08-2019,20:01:00,Credit card
554-42-2417,10,47.72,1002.12,01-09-2019,13:45:00,Cash
453-63-6187,3,4.125,86.625,03-01-2019,15:40:00,Ewallet
578-80-7669,1,3.7485,78.7185,3/16/2019,16:58:00,Cash
612-36-5536,8,32.384,680.064,2/17/2019,11:12:00,Credit card
605-72-4132,8,37.788,793.548,2/27/2019,15:12:00,Cash
471-41-2823,2,9.979,209.559,03-07-2019,20:37:00,Ewallet
462-67-9126,6,21.966,461.286,1/21/2019,17:44:00,Cash
272-27-9238,4,8.248,173.208,2/19/2019,16:23:00,Cash
834-25-9262,4,16.336,343.056,01-06-2019,12:12:00,Cash
122-61-9553,9,23.094,484.974,3/14/2019,19:33:00,Cash
468-88-0009,4,13.188,276.948,3/24/2019,10:29:00,Cash
613-59-9758,10,7.18,150.78,1/27/2019,14:28:00,Cash
254-31-0042,9,9.675,203.175,03-06-2019,12:46:00,Credit card
201-86-2184,7,9.191,193.011,02-02-2019,19:40:00,Cash
261-12-8671,2,6.096,128.016,1/25/2019,19:39:00,Credit card
730-70-9830,6,21.033,441.693,3/14/2019,17:54:00,Ewallet
382-25-8917,6,12.624,265.104,1/29/2019,12:25:00,Cash
422-29-8786,5,16.7725,352.2225,01-03-2019,16:47:00,Credit card
667-23-5919,5,24.175,507.675,1/14/2019,12:52:00,Ewallet
843-01-4703,9,15.921,334.341,01-05-2019,19:50:00,Credit card
743-88-1662,7,33.4215,701.8515,2/22/2019,18:17:00,Ewallet
595-86-2894,4,19.396,407.316,02-06-2019,17:20:00,Ewallet
182-69-8360,4,4.73,99.33,1/30/2019,13:32:00,Credit card
289-15-7034,4,16.466,345.786,01-11-2019,10:37:00,Credit card
462-78-5240,2,2.661,55.881,3/19/2019,14:35:00,Cash
868-52-7573,5,24.9225,523.3725,1/14/2019,12:09:00,Cash
153-58-4872,4,14.978,314.538,03-01-2019,15:32:00,Ewallet
662-72-2873,5,10.235,214.935,01-06-2019,13:58:00,Ewallet
525-88-7307,1,3.791,79.611,1/31/2019,13:19:00,Cash
689-16-9784,6,14.031,294.651,03-11-2019,13:37:00,Cash
725-56-0833,10,16.16,339.36,2/20/2019,16:49:00,Credit card
394-41-0748,9,24.3315,510.9615,1/27/2019,14:55:00,Ewallet
596-42-3999,7,6.377,133.917,03-10-2019,14:04:00,Credit card
541-89-9860,3,12.072,253.512,2/15/2019,12:31:00,Cash
173-82-9529,10,18.975,398.475,1/26/2019,14:51:00,Cash
563-36-9814,1,3.841,80.661,2/13/2019,18:27:00,Ewallet
